Price,Rating,Discount,price,price_2dp,Category_B,Category_C,Category_D,Category_Unknown,Stock_In Stock,Stock_Out of Stock,Price_Standard,Price_MinMax,Price_Robust
5548.0,1.870322015500628,0.0,5548.0,5548.0,False,False,False,True,False,True,0.18700549995723173,0.5502677579064362,0.11514170885745603
3045.0,4.757798057831803,38.0,3045.0,3045.0,False,False,False,True,False,True,-0.6944424823291034,0.29736283722340107,-0.4074325382326844
4004.0,3.0820600518841306,0.0,4004.0,4004.0,False,False,False,True,True,False,-0.3567242981450861,0.39426088713751645,-0.20721332011065297
4808.0,1.492084885301209,33.0,4808.0,4808.0,False,False,False,True,False,True,-0.07359038773429366,0.4754976255430939,-0.039354872383736104
1817.0,3.0820600518841306,23.0,1817.0,1817.0,False,False,False,True,False,True,-1.12689079325504,0.17328483378801657,-0.6638133514275275
3522.0,3.0820600518841306,25.0,3522.0,3522.0,False,False,False,True,False,True,-0.5264637817495661,0.3455592603819339,-0.3078448770812673
667.0,3.668340748490816,41.0,667.0,667.0,False,True,False,False,True,False,-1.5318708889918702,0.05708800646660605,-0.9039093898428937
7125.0,4.983998118378299,7.0,7125.0,7125.0,False,False,False,False,False,True,0.7423564660241716,0.7096089724158836,0.4443864502322668
2777.0,2.678384421487482,6.0,2777.0,2777.0,False,False,False,False,True,False,-0.7888204524660343,0.27028392442154187,-0.46338535414165666
463.0,4.626187280896929,3.0,463.0,463.0,False,False,False,True,False,True,-1.6037108364095338,0.03647569970698192,-0.9465003392661412
1151.0,2.947838084766442,25.0,1151.0,1151.0,False,False,False,False,False,True,-1.361427092177413,0.10599171466100839,-0.8028602745446004
3772.0,4.890749963096654,45.0,3772.0,3772.0,False,False,False,False,True,False,-0.4384246305024292,0.3708194402344145,-0.2556500861214051
7719.0,2.9822417824846874,4.0,7719.0,7719.0,False,False,False,True,True,False,0.951537489387369,0.7696271597453773,0.5684012735528994
8416.0,1.2709427320459683,29.0,8416.0,8416.0,False,True,False,False,False,True,1.1969906430643869,0.8400525411740931,0.7139203507489953
8530.0,3.0820600518841306,10.0,8530.0,8530.0,True,False,False,False,False,True,1.2371364960330813,0.8515711831868242,0.7377211754266925
7936.0,3.032832041059039,44.0,7936.0,7936.0,False,False,False,False,True,False,1.0279554726698839,0.7915529958573304,0.6137063521060598
9319.0,3.479063511857313,28.0,9319.0,9319.0,True,False,False,False,True,False,1.5149880573690455,0.9312923108012529,0.9024479356960176
,4.097463656949772,40.0,5016.970630372492,5016.97,False,False,False,True,False,True,,,
2066.0,3.0820600518841306,30.0,2066.0,2066.0,False,False,True,False,False,True,-1.0392037986128917,0.1984439729210872,-0.6118273396315048
1784.0,3.0820600518841306,12.0,1784.0,1784.0,True,False,False,False,False,True,-1.1385119612196621,0.16995049004748916,-0.6707030638342294
5589.0,3.0820600518841306,39.0,5589.0,5589.0,False,False,False,True,False,True,0.20144392076176218,0.5544104274022431,0.12370165457487342
,3.0820600518841306,25.0,5016.970630372492,5016.97,False,True,False,False,False,True,,,
4176.0,2.264050691550675,42.0,4176.0,4176.0,False,False,False,True,True,False,-0.2961533620870559,0.41163989087602304,-0.17130330393026777
407.0,2.7742698776847985,44.0,407.0,407.0,False,False,True,False,True,False,-1.6234316062888925,0.030817419420026276,-0.9581919724411504
7011.0,3.0820600518841306,38.0,7011.0,7011.0,False,False,False,True,True,False,0.7022106130554772,0.6980903304031524,0.42058562555456963
8418.0,3.0820600518841306,25.0,8418.0,8418.0,False,False,False,True,False,True,1.197694956274364,0.840254622612913,0.7143379090766742
3405.0,3.0820600518841306,48.0,3405.0,3405.0,False,False,False,True,True,False,-0.5676661045332262,0.33373749621097304,-0.3322720392504828
1732.0,3.0820600518841306,25.0,1732.0,1732.0,False,False,True,False,False,True,-1.1568241046790668,0.1646963726381732,-0.6815595803538806
5850.0,2.264393100564309,43.0,5850.0,5850.0,True,False,False,False,False,True,0.2933567946637732,0.5807820551682328,0.17819301633696957
,2.357527106379227,22.0,5016.970630372492,5016.97,False,False,False,True,False,True,,,
704.0,3.0820600518841306,47.0,704.0,704.0,False,False,False,True,True,False,-1.5188410946072939,0.060826513084773166,-0.8961845607808341
2343.0,1.8632245113185228,17.0,2343.0,2343.0,False,False,False,True,False,True,-0.941656419031064,0.22643225219763566,-0.5539955112479774
,3.0820600518841306,25.0,5016.970630372492,5016.97,False,False,False,True,False,True,,,
1910.0,3.8494948825094535,14.0,1910.0,1910.0,False,False,False,True,False,True,-1.0941402289911053,0.18268162069313934,-0.6443968891904588
9307.0,3.0820600518841306,21.0,9307.0,9307.0,False,False,False,True,False,True,1.510762178109183,0.9300798221683338,0.8999425857299441
2331.0,3.95225743506134,43.0,2331.0,2331.0,False,False,False,True,False,True,-0.9458822982909266,0.2252197635647166,-0.5565008612140508
6164.0,4.305789482267322,1.0,6164.0,6164.0,False,False,True,False,False,True,0.40393396863017716,0.6125088410629483,0.2437496737825565
8060.0,1.9058024886644624,43.0,8060.0,8060.0,True,False,False,False,False,True,1.0716228916884638,0.8040820450641608,0.6395949684221515
5607.0,4.789502194485456,15.0,5607.0,5607.0,False,False,False,True,False,True,0.20778273965155605,0.5562291603516216,0.12745967952398352
4730.0,3.0820600518841306,30.0,4730.0,4730.0,False,False,False,True,True,False,-0.10105860292340038,0.46761644942911995,-0.05563964716321311
9230.0,3.0820600518841306,8.0,9230.0,9230.0,False,False,False,True,False,True,1.4836461195250648,0.9222996867737698,0.8838665901143066
1112.0,3.0820600518841306,38.0,1112.0,1112.0,False,False,False,True,True,False,-1.3751611997719664,0.10205112660402142,-0.8110026619343389
4390.0,3.0820600518841306,34.0,4390.0,4390.0,False,False,False,True,True,False,-0.22079184861950665,0.4332626048297464,-0.12662456286862572
8484.0,3.0820600518841306,36.0,8484.0,8484.0,False,False,False,True,False,True,1.2209372922036081,0.8469233100939678,0.7281173338900778
6415.0,4.984170226351978,12.0,6415.0,6415.0,False,False,True,False,False,True,0.4923252764823027,0.6378700616348388,0.29615324390625813
4589.0,3.0820600518841306,47.0,4589.0,4589.0,False,False,False,True,False,True,-0.15071268422678563,0.4533697079923209,-0.0850775092645754
2260.0,3.0820600518841306,37.0,2260.0,2260.0,False,False,False,False,True,False,-0.9708854172451135,0.2180458724866121,-0.5713241818466517
1759.0,4.45534399355245,37.0,1759.0,1759.0,False,False,False,True,False,True,-1.1473158763443758,0.1674244720622411,-0.6759225429302156
7190.0,1.9243054921681804,25.0,7190.0,7190.0,False,False,False,True,True,False,0.7652466453484272,0.7161766191775285,0.457957095881831
8675.0,2.778260648243727,25.0,8675.0,8675.0,False,False,False,True,False,True,1.2881992037564207,0.866222087501263,0.7679941541834125
5412.0,3.0820600518841306,24.0,5412.0,5412.0,False,False,False,True,False,True,0.1391122016787892,0.5365262200666868,0.08674774257529098
6304.0,3.0820600518841306,31.0,6304.0,6304.0,False,False,False,False,False,True,0.4532358933285739,0.6266545417803374,0.2729787567200793
9870.0,2.8036864935783328,37.0,9870.0,9870.0,False,True,False,False,False,True,1.7090263467177353,0.98696574719612,1.0174852549715538
1134.0,2.886833030618752,15.0,1134.0,1134.0,False,True,False,False,True,False,-1.3674137544622182,0.10427402243103971,-0.8064095203298711
9795.0,3.0820600518841306,17.0,9795.0,9795.0,True,False,False,False,True,False,1.6826146013435943,0.9793876932403759,1.0018268176835952
3445.0,3.0820600518841306,3.0,3445.0,3445.0,True,False,False,False,True,False,-0.5535798403336843,0.33777912498736995,-0.32392087269690484
8421.0,1.338253810015713,2.0,8421.0,8421.0,False,False,False,True,True,False,1.1987514260893295,0.8405577447711428,0.7149642465681925
3236.0,4.951183214408314,2.0,3236.0,3236.0,False,False,False,True,False,True,-0.6271805707762909,0.3166616146306962,-0.36755571793934966
1624.0,3.0820600518841306,34.0,1624.0,1624.0,False,False,False,True,False,True,-1.19485701801783,0.1537839749419016,-0.7041077300485411
806.0,4.170806833653488,8.0,806.0,806.0,False,False,False,True,False,True,-1.482921120898462,0.07113266646458523,-0.8748890860692103
9888.0,3.0820600518841306,29.0,9888.0,9888.0,False,False,False,True,False,True,1.7153651656075293,0.9887844801454986,1.0212432799206639
8773.0,1.865998304807294,17.0,8773.0,8773.0,False,False,False,True,False,True,1.3227105510452983,0.8761240780034354,0.7884545122396784
